time,STAGE_R0,STAGE_R1,STAGE_R2,STAGE_R3,STAGE_R4,STAGE_R5,STAGE_R6,STAGE_R7,STAGE_R8,STAGE_R9,STAGE_R10,STAGE_R11,STAGE_R12,STAGE_R13,STAGE_R14,STAGE_R15,STAGE_R16,STAGE_R17,STAGE_R18,STAGE_R19,STAGE_R20,STAGE_R21,STAGE_R22,STAGE_R23,STAGE_R24,STAGE_R25,FLOW_R0,FLOW_R1,FLOW_R2,FLOW_R3,FLOW_R4,FLOW_R5,FLOW_R6,FLOW_R7,FLOW_R8,FLOW_R9,FLOW_R10,FLOW_R11,FLOW_R12,FLOW_R13,FLOW_R14,FLOW_R15,FLOW_R16,FLOW_R17,FLOW_R18,FLOW_R19,FLOW_R20,FLOW_R21,FLOW_R22,FLOW_R23,FLOW_R24,FLOW_R25,GWF_R0,GWF_R1,GWF_R2,GWF_R3,GWF_R4,GWF_R5,GWF_R6,GWF_R7,GWF_R8,GWF_R9,GWF_R10,GWF_R11,GWF_R12,GWF_R13,GWF_R14,GWF_R15,GWF_R16,GWF_R17,GWF_R18,GWF_R19,GWF_R20,GWF_R21,GWF_R22,GWF_R23,GWF_R24,GWF_R25
1.000000000000,-.1945269299314094,-.2436422645440426,-.2928526746288451,-.3421222804280090,-.3914335534624773,-.4407761797128096,-.4901434065071916,-.5395303487434129,-.5889332659046327,-.6383493877452493,-.6877763117683670,-.7372115120240812,-.7866514159453213,-.8360920054466425,-.8855404652673172,-.9349962369096856,-.9844548761606624,-1.033914317167962,-1.083372891111915,-1.132829083560300,-1.182280728223556,-1.231725062582042,-1.281158858713448,-1.330576996346212,-1.379970893748288,-1.429322970493539,-86656.22672868888,-86856.13233820097,-87022.88935292275,-87167.06224378385,-87294.57002757395,-87409.19495617869,-87513.56599489838,-87609.62475334230,-87698.85915666772,-87782.45867034087,-87861.50093285908,-87937.29693056922,-88012.80273868715,-88086.49557180282,-88155.20890442264,-88221.99122181145,-88288.01711693199,-88354.08568301219,-88420.96725026616,-88489.52530525622,-88560.81030459711,-88636.18983607709,-88717.58110860235,-88807.94257297984,-88912.53204451255,-89042.90787012929,-256.2267286888785,-199.9056095120882,-166.7570147217832,-144.1728908610988,-127.5077837901021,-114.6249286047409,-104.3710387196986,-96.05875844391711,-89.23440332542428,-83.59951367315480,-79.04226251821071,-75.79599771013672,-75.50580811792429,-73.69283311566301,-68.71333261982321,-66.78231738880042,-66.02589512054381,-66.06856608019751,-66.88156725396090,-68.55805499006755,-71.28499934089362,-75.37953147997590,-81.39127252526411,-90.36146437749493,-104.5894715327220,-130.3758256167281
37.50000000000,-.1945377347101317,-.2436752803305114,-.2929098532948203,-.3422067235195853,-.3915491384000501,-.4409274281565965,-.4903352932042290,-.5397683987359567,-.5892239868010369,-.6387006439395271,-.6881975306913859,-.7377135571928698,-.7872467336580675,-.8367689470076662,-.8862791556824303,-.9357924466875289,-.9853022763177277,-1.034805374396755,-1.084299988906489,-1.133785244325544,-1.183259942846704,-1.232722359255526,-1.282170233666059,-1.331599292171122,-1.381001684214918,-1.430360516997225,-86646.02500039950,-86835.12891134062,-86989.80563823209,-87120.21377842520,-87231.94332187965,-87328.49459215665,-87412.34614034768,-87485.06659468835,-87547.58269523100,-87600.35528841964,-87643.70434256230,-87678.33166461611,-87706.29148118498,-87749.83840216756,-87789.84911780366,-87830.48443889912,-87873.79809380900,-87920.85487397846,-87972.23997382191,-88028.39598566080,-88089.87376367816,-88157.55265111179,-88232.91332928464,-88318.53734468525,-88419.34731652369,-88546.54598276604,-246.0250003995092,-189.1039109411217,-154.6767268914725,-130.4081401931091,-111.7295434544474,-96.55127027700630,-83.85154819103060,-72.72045434067691,-62.51610054264687,-52.77259318863296,-43.34905414266048,-34.62732205381369,-27.95981656886007,-43.54692098257556,-40.01071563610158,-40.63532109545039,-43.31365490988751,-47.05678016945826,-51.38509984345180,-56.15601183888800,-61.47777801735374,-67.67888743363122,-75.36067817284413,-85.62401540060766,-100.8099718384404,-127.1986662423371
74.00000000000,-.1945417756541163,-.2436876661830372,-.2929314147968190,-.3422387890294391,-.3915934437120630,-.4409861635979194,-.4904112664690640,-.5398652819056741,-.5893464245439318,-.6388540718136997,-.6883878627277626,-.7379469497643180,-.7875299362510213,-.8370983040131829,-.8866470487980672,-.9361977860827323,-.9857429689039174,-1.035278396164369,-1.084801803976338,-1.134312180819084,-1.183808453132095,-1.233289177819986,-1.282752462668008,-1.332194445556974,-1.381607730861672,-1.430976009288004,-86642.20965658077,-86827.23823896523,-86977.30233913212,-87102.36833702214,-87207.83283515298,-87296.95845724024,-87371.87592035094,-87433.68152183603,-87482.85139870631,-87519.54663062621,-87543.93375414859,-87556.63971588647,-87559.23240596367,-87584.31283568965,-87606.16439792200,-87629.35909796449,-87656.48669771517,-87688.95629798752,-87727.49275853476,-87772.52710525398,-87824.50310946335,-87884.13828840027,-87952.72383340746,-88032.63519801038,-88128.55962898191,-88251.35926712024,-242.2096565807706,-185.0285823844600,-150.0641001668896,-125.0659978900149,-105.4644981308439,-89.12562208725497,-74.91746311070416,-61.80560148508565,-49.16987687027778,-36.69523191990388,-24.38712352238249,-12.70596173788578,-2.592690077199562,-25.08042972596987,-21.85156223234727,-23.19470004249948,-27.12759975068151,-32.46960027234418,-38.53646054724221,-45.03434671921348,-51.97600420936342,-59.63517893691988,-68.58554500720021,-79.91136460291717,-95.92443097152733,-122.7996381383283
110.5000000000,-.1945441421127295,-.2436949116239577,-.2929440058477513,-.3422574735656070,-.3916191903018925,-.4410201660132472,-.4904551005755904,-.5399209424128526,-.5894161595231295,-.6389402892836045,-.6884930462653417,-.7380736315174352,-.7876810130840377,-.8372725221515540,-.8868415215766867,-.9364123931895898,-.9859772654692507,-1.035531503079735,-1.085072508322380,-1.134599061960286,-1.184109994560429,-1.233603854342650,-1.283078808415275,-1.332531115734426,-1.381953579222221,-1.431330254302914,-86639.97532959490,-86822.62496023663,-86970.00680051489,-87091.98067484966,-87193.84102148330,-87278.73923606440,-87348.55521055379,-87404.23902612072,-87446.17305866939,-87474.46128830062,-87489.25700368863,-87491.15722369749,-87481.41482169725,-87496.87419376279,-87509.11851435153,-87522.80370348110,-87540.74048028704,-87564.52578466407,-87595.01136554425,-87632.69687736480,-87678.04720260830,-87731.76575186774,-87795.09982637288,-87870.35097443192,-87962.08629399053,-88080.92880161008,-239.9753295949100,-182.6496306417233,-147.3818402782701,-121.9738743347691,-101.8603466336383,-84.89821458110562,-69.81597448938558,-55.68381556692639,-41.93403254867453,-28.28822963123240,-14.79571538801262,-1.900220008851214,9.742402000241633,-15.45937206553607,-12.24432058874644,-13.68518912956598,-17.93677680594736,-23.78530437703182,-30.48558088018389,-37.68551182054615,-45.35032524350228,-53.71854925943760,-63.33407450514107,-75.25114805902625,-91.73531955861448,-118.8425076195362
147.0000000000,-.1945455997069571,-.2436993668712065,-.2929517279163980,-.3422688973706677,-.3916348781893363,-.4410408159082307,-.4904815911813061,-.5399543115946557,-.5894575187221851,-.6389907799324481,-.6885538178971959,-.7381458589897902,-.7877661018567010,-.8373699467686615,-.8869499902697937,-.9365319853855437,-.9861079603417080,-1.035673086460104,-1.085224590688108,-1.134761118955910,-1.184281408993875,-1.233783955545033,-1.283266908747208,-1.332726551399367,-1.382155771925346,-1.431538849962471,-86638.59912613010,-86819.79060041092,-86965.53766578849,-87085.63857920037,-87185.32890429067,-87267.69053511778,-87334.50167775097,-87386.66340070394,-87424.53772552592,-87448.22129464403,-87457.86833668928,-87454.05192364111,-87437.83197863470,-87448.07152756715,-87455.05744230725,-87463.44699314023,-87476.14222626532,-87494.83100490850,-87520.43849070258,-87553.51773753828,-87594.56725180632,-87644.30651055116,-87703.98156163406,-87775.87063490503,-87864.47949554211,-87980.27200477870,-238.5991261301005,-181.1914742808365,-145.7470653775619,-120.1009134118767,-99.69032509029419,-82.36163082711728,-66.81114263319505,-52.16172295296914,-37.87432482197854,-23.68356911809958,-9.647042045249515,3.816413048174491,16.21994500640076,-10.23954893246025,-6.985914740097636,-8.389550832974173,-12.69523312509697,-18.68877864317674,-25.60748579408749,-33.07924683570295,-41.04951426804785,-49.73925874484276,-59.67505108290479,-71.88907327096395,-88.60886063707031,-115.7925092365970
183.5000000000,-.1945465297907003,-.2437022049372941,-.2929566341457713,-.3422761328986806,-.3916447814127287,-.4410538087394673,-.4904981787415950,-.5399750600700506,-.5894830279215622,-.6390216584679386,-.6885906764882487,-.7381893307206842,-.7878169698290310,-.8374279459743970,-.8870144436579578,-.9366029950914243,-.9861855957634785,-1.035757321105710,-1.085315305420167,-1.134858114308583,-1.184384423087868,-1.233892682022116,-1.283381015872781,-1.332845706282118,-1.382279682940633,-1.431667368708518,-86637.72097971974,-86817.98656977269,-86962.70147259366,-87081.62706663838,-87179.96372334231,-87260.74857678609,-87325.72616403743,-87375.77351509765,-87411.24514038117,-87432.23737850654,-87438.90354863058,-87431.79705049956,-87411.85675224931,-87419.05665541958,-87422.96088254235,-87428.21387046209,-87437.76034365888,-87453.33492107534,-87475.90383575043,-87506.05361618393,-87544.30799097943,-87591.40264160030,-87648.59056268648,-87718.14280691720,-87804.53087298501,-87918.11210828794,-237.7209797197440,-180.2655900529472,-144.7149028209683,-118.9255940447178,-98.33665670393236,-80.78485344377368,-64.97758725133967,-50.04735106021243,-35.47162528352134,-20.99223812537204,-6.666170124040489,7.106498131018523,19.94029825024623,-7.199903170276412,-3.904227122765920,-5.252987919735707,-9.546473196789828,-15.57457741644728,-22.56891467509098,-30.14978043349923,-38.25437479550018,-47.09465062086602,-57.18792108617509,-69.55224423070855,-86.38806606781647,-113.5812353029265
220.0000000000,-.1945471641420182,-.2437041376150026,-.2929599670379127,-.3422810334632504,-.3916514635998964,-.4410625349245775,-.4905092560700529,-.5399888255883998,-.5894998334765047,-.6390418593476611,-.6886146298414259,-.7382174117531042,-.7878496536588724,-.8374650723686689,-.8870556064503476,-.9366482782007058,-.9862350724939433,-1.035811012853814,-1.085373179714601,-1.134920091012003,-1.184450381556788,-1.233962470252020,-1.283454461089979,-1.332922629822938,-1.382359928867206,-1.431750876221324,-86637.12205259415,-86816.75898663237,-86960.77689433322,-87078.91403102326,-87176.34996076961,-87256.09687025698,-87319.88191028421,-87368.57130284335,-87402.51658262509,-87421.81417561389,-87426.61606680740,-87417.46063221511,-87395.20700808757,-87400.50981150323,-87402.48371938997,-87405.76009275108,-87413.30603213451,-87426.88232366511,-87447.47927940934,-87475.70423865713,-87512.09792415770,-87557.40822753179,-87612.89498420383,-87680.82707651869,-87765.65507021685,-87877.66375201104,-237.1220525941425,-179.6369340382160,-144.0179077008491,-118.1371366900383,-97.43592974635584,-79.74690948737222,-63.78504002723417,-48.68939255914788,-33.94527978173400,-19.29759298880414,-4.801891193509960,9.155434592288533,22.25362412753165,-5.302803415665826,-1.973907886747466,-3.276373361102990,-7.545939383433359,-13.57629153059642,-20.59695574422910,-28.22495924778937,-36.39368550058069,-45.31030337409204,-55.48675667202789,-67.93209231486783,-84.82799369815341,-112.0086817941976
256.5000000000,-.1945476113327556,-.2437054980237118,-.2929623075151505,-.3422844649440615,-.3916561268019308,-.4410686003995816,-.4905169214027720,-.5399983060805877,-.5895113529707112,-.6390556437321211,-.6886309069875012,-.7382364231971958,-.7878717103715676,-.8374900660985145,-.8870832703314875,-.9366786757315017,-.9862682635113308,-1.035847025783847,-1.085412009500092,-1.134961702117856,-1.184494711716110,-1.234009435514530,-1.283503962220806,-1.332974561963995,-1.382414201122018,-1.431807462970252,-86636.69983490570,-86815.89553131613,-86959.42680173476,-87077.01679551249,-87173.83205869760,-87252.86962813967,-87315.84626480729,-87363.62190348531,-87396.54645120889,-87414.71628697084,-87418.28191670215,-87407.77063664496,-87383.98717725486,-87388.03666376660,-87388.73233498345,-87390.69526718893,-87396.90580577722,-87409.14081283261,-87428.40574665077,-87455.32143381516,-87490.44005299562,-87534.51822191710,-87588.82108722668,-87655.61691085127,-87739.34256621094,-87850.23239385340,-236.6998349056969,-179.1956964104377,-143.5312704186293,-117.5899937777329,-96.81526318511544,-79.03756944206832,-62.97663666761830,-47.77563867802514,-32.92454772358259,-18.16983576195042,-3.565629731317622,10.51128005719507,23.78345939008604,-4.049486511739517,-.6956712168539275,-1.962932205476278,-6.210538588283747,-12.23500705539362,-19.26493381815447,-26.91568716438651,-35.11861918045789,-44.07816892147550,-54.30286530957606,-66.79582362458515,-83.72565535967428,-110.8898276424631
293.0000000000,-.1945479310848985,-.2437064699834550,-.2929639776171316,-.3422869098193907,-.3916594431774743,-.4410729045143421,-.4905223468872532,-.5400049979034840,-.5895194615802718,-.6390653211016357,-.6886423071209968,-.7382497107233243,-.7878870994484968,-.8375074786360407,-.8871025203011402,-.9366998110311899,-.9862913304395555,-1.035872049939238,-1.085438994158412,-1.134990629944808,-1.184525546996920,-1.234042127248216,-1.283538448294566,-1.333010775726107,-1.382452085102456,-1.431847005591257,-86636.39793934627,-86815.27886525571,-86958.46394608069,-87075.66599627415,-87172.04292798693,-87250.58199954349,-87312.99333061540,-87360.13283849524,-87392.34938651382,-87409.73914144064,-87412.45114562035,-87401.00436767870,-87376.16512987629,-87379.35313426293,-87379.16839694748,-87380.22451171042,-87385.51046834521,-87396.81378707456,-87415.15007978839,-87441.14935550974,-87475.37175771304,-87518.58016226545,-87572.04366718672,-87638.03042988382,-87720.96796313422,-87831.05487998687,-236.3979393462691,-178.8809259094481,-143.1850808249896,-117.2020501934642,-96.37693171277182,-78.53907155655384,-62.41133107191734,-47.13950787983160,-32.21654801857714,-17.38975492683666,-2.712004179708032,11.44677794165132,24.83923780241405,-3.188004386640719,.1847373154495914,-1.056114762928873,-5.285956634786177,-11.30331872934506,-18.33629271384064,-25.99927572134160,-34.22240220330732,-43.20840455240337,-53.46350492126774,-65.98676269710168,-82.93753325039837,-110.0869168526534
329.5000000000,-.1945481693141683,-.2437071935491193,-.2929652193179753,-.3422887246952679,-.3916619002894589,-.4410760859324107,-.4905263460144008,-.5400099154480611,-.5895254017557368,-.6390723892852251,-.6886506105462822,-.7382593648166150,-.7878982561260255,-.8375200774050331,-.8871164252798325,-.9367150572634352,-.9863079523054437,-1.035890067573081,-1.085458412216011,-1.135011438673480,-1.184547723672477,-1.234065638205596,-1.283563251791975,-1.333036826565079,-1.382479344429450,-1.431875467466655,-86636.17301414562,-86814.81997775185,-86957.74848180772,-87074.66399985040,-87170.71855601267,-87248.89302937928,-87310.89322829976,-87357.57252595622,-87389.27910815908,-87406.10885676622,-87408.20952114998,-87396.09380117845,-87370.50015186857,-87373.07595920181,-87372.26521224197,-87372.67597128170,-87377.30313387488,-87387.94158533530,-87405.61399960704,-87430.95682885021,-87464.53587174061,-87507.11852532138,-87559.97678674226,-87625.37885996845,-87707.74564624164,-87817.25002914283,-236.1730141456181,-178.6469636062280,-142.9285040558789,-116.9155180426800,-96.05455616227158,-78.17447336661832,-62.00019892047935,-46.67929765646149,-31.70658220286906,-16.82974860713919,-2.100664383757268,12.11571997153427,25.59364930987548,-2.575807333246749,.8107469598453128,-.4107590397288343,-4.627162593178604,-10.63845146042014,-17.67241427174284,-25.34282924316932,-33.57904289040343,-42.58265358076813,-52.85826142088555,-65.40207322618998,-82.36678627318962,-109.5043829011873
366.0000000000,-.1945483471905515,-.2437077336181813,-.2929661456081848,-.3422900776367613,-.3916637304847936,-.4410784532483458,-.4905293182764332,-.5400135655361090,-.5895298049214496,-.6390776212433418,-.6886567493337545,-.7382664936153926,-.7879064851462385,-.8375293601267488,-.8871266596661354,-.9367262688671916,-.9863201664017975,-1.035903299277661,-1.085472665563645,-1.135026707338480,-1.184563991953121,-1.234082882429914,-1.283581442357937,-1.333055931275354,-1.382499335625647,-1.431896341508071,-86636.00507146133,-86814.47752366685,-86957.21488914435,-87073.91727578832,-87169.73247797447,-87247.63687148572,-87309.33326391324,-87355.67329111202,-87387.00470424135,-87403.42318801678,-87405.07551666912,-87392.46974567093,-87366.32380363044,-87368.45358632265,-87367.18678908865,-87367.12735133285,-87371.27436764207,-87381.42798658743,-87398.61594521516,-87423.47933753952,-87456.58806375015,-87498.71283081282,-87551.12777316342,-87616.10117386252,-87698.04914827429,-87807.12576336641,-236.0050714613275,-178.4724522055218,-142.7373654774984,-116.7023866439755,-95.81520218615000,-77.90439351125129,-61.69639242752375,-46.34002719877773,-31.33141312932495,-16.41848377543025,-1.652328652342836,12.60577099819571,26.14594204048990,-2.129782692203058,1.266797233997834,.5943775579633846E-01,-4.147016309209691,-10.15361894536429,-17.18795862774151,-24.86339232436288,-33.10872621062546,-42.12476706265672,-52.41494235060924,-64.97340069910628,-81.94797441177116,-109.0766150921063
